Time,X,Y,Z
102,0,68.47033205,55.44618164
102.1,0,68.44482657,55.3267006
102.2,0,68.4191126,55.20726425
102.3,0,68.39319021,55.08787296
102.4,0,68.36705948,54.9685271
102.5,0,68.3407205,54.84922702
102.6,0,68.31417334,54.7299731
102.7,0,68.28741808,54.6107657
102.8,0,68.2604548,54.49160517
102.9,0,68.23328359,54.37249188
103,0,68.20590453,54.2534262
103.1,0,68.17831771,54.13440848
103.2,0,68.1505232,54.01543909
103.3,0,68.12252109,53.8965184
103.4,0,68.09431147,53.77764676
103.5,0,68.06589443,53.65882453
103.6,0,68.03727004,53.54005208
103.7,0,68.0084384,53.42132978
103.8,0,67.97939959,53.30265797
103.9,0,67.95015371,53.18403703
104,0,67.92070084,53.06546731
104.1,0,67.89104107,52.94694917
104.2,0,67.86117449,52.82848299
104.3,0,67.8311012,52.71006911
104.4,0,67.80082128,52.5917079
104.5,0,67.77033483,52.47339972
104.6,0,67.73964193,52.35514492
104.7,0,67.70874269,52.23694388
104.8,0,67.6776372,52.11879694
104.9,0,67.64632555,52.00070448
105,0,67.61480784,51.88266684
105.1,0,67.58308416,51.7646844
105.2,0,67.55115461,51.6467575
105.3,0,67.51901929,51.5288865
105.4,0,67.4866783,51.41107178
105.5,0,67.45413172,51.29331367
105.6,0,67.42137968,51.17561256
105.7,0,67.38842225,51.05796878
105.8,0,67.35525955,50.94038271
105.9,0,67.32189167,50.82285469
106,0,67.28831872,50.70538509
106.1,0,67.25454079,50.58797427
106.2,0,67.220558,50.47062258
106.3,0,67.18637044,50.35333038
106.4,0,67.15197822,50.23609802
106.5,0,67.11738144,50.11892587
106.6,0,67.08258021,50.00181428
106.7,0,67.04757464,49.88476361
106.8,0,67.01236483,49.76777421
106.9,0,66.97695088,49.65084645
107,0,66.94133292,49.53398067
107.1,0,66.90551104,49.41717723
107.2,0,66.86948535,49.3004365
107.3,0,66.83325597,49.18375881
107.4,0,66.796823,49.06714454
107.5,0,66.76018655,48.95059403
107.6,0,66.72334675,48.83410765
107.7,0,66.68630369,48.71768574
107.8,0,66.64905749,48.60132865
107.9,0,66.61160827,48.48503675
108,0,66.57395614,48.36881039
108.1,0,66.53610121,48.25264993
108.2,0,66.49804361,48.1365557
108.3,0,66.45978343,48.02052808
108.4,0,66.42132082,47.90456741
108.5,0,66.38265586,47.78867405
108.6,0,66.3437887,47.67284835
108.7,0,66.30471944,47.55709066
108.8,0,66.26544821,47.44140133
108.9,0,66.22597512,47.32578073
109,0,66.18630029,47.21022919
109.1,0,66.14642385,47.09474707
109.2,0,66.10634592,46.97933473
109.3,0,66.06606661,46.86399251
109.4,0,66.02558606,46.74872077
109.5,0,65.98490438,46.63351985
109.6,0,65.9440217,46.51839012
109.7,0,65.90293814,46.40333191
109.8,0,65.86165383,46.28834558
109.9,0,65.82016889,46.17343149
110,0,65.77848346,46.05858997
110.1,0,65.73659765,45.94382138
110.2,0,65.69451159,45.82912607
110.3,0,65.65222542,45.71450439
110.4,0,65.60973926,45.59995669
110.5,0,65.56705325,45.48548331
110.6,0,65.5241675,45.37108461
110.7,0,65.48108216,45.25676094
